x,y,size,angle,response,octave,class_id
30849.0,198.0,7.0,-1.0,161.0,0,-1
30846.0,199.0,7.0,-1.0,161.0,0,-1
25533.0,300.0,7.0,-1.0,112.0,0,-1
25530.0,301.0,7.0,-1.0,112.0,0,-1
24326.0,320.0,7.0,-1.0,118.0,0,-1
21654.0,355.0,7.0,-1.0,139.0,0,-1
21651.0,356.0,7.0,-1.0,139.0,0,-1
18354.0,389.0,7.0,-1.0,160.0,0,-1
18351.0,390.0,7.0,-1.0,160.0,0,-1
17983.0,392.0,7.0,-1.0,167.0,0,-1
15611.0,408.0,7.0,-1.0,181.0,0,-1
15608.0,409.0,7.0,-1.0,181.0,0,-1
14765.0,413.0,7.0,-1.0,172.0,0,-1
31690.0,4078.0,7.0,-1.0,130.0,0,-1
31760.0,7153.0,7.0,-1.0,103.0,0,-1
31837.0,10598.0,7.0,-1.0,112.0,0,-1
31838.0,14028.0,7.0,-1.0,108.0,0,-1
31703.0,14031.0,7.0,-1.0,113.0,0,-1
31471.0,14037.0,7.0,-1.0,104.0,0,-1
31339.0,14039.0,7.0,-1.0,106.0,0,-1
31336.0,14040.0,7.0,-1.0,106.0,0,-1
31288.0,14041.0,7.0,-1.0,107.0,0,-1
30920.0,14049.0,7.0,-1.0,94.0,0,-1
30733.0,14052.0,7.0,-1.0,105.0,0,-1
30213.0,14063.0,7.0,-1.0,106.0,0,-1
30210.0,14064.0,7.0,-1.0,106.0,0,-1
29968.0,14069.0,7.0,-1.0,102.0,0,-1
20579.0,14213.0,7.0,-1.0,107.0,0,-1
20576.0,14214.0,7.0,-1.0,107.0,0,-1
15631.0,14252.0,7.0,-1.0,148.0,0,-1
14266.0,14258.0,7.0,-1.0,151.0,0,-1
10326.0,14266.0,7.0,-1.0,156.0,0,-1
10996.0,14266.0,7.0,-1.0,161.0,0,-1
